阿,a,阿库,ak
阿伊,ay,阿苏,as
阿吉,azi,阿茨塔,atta
阿迪尔,adel,阿恩,an
阿内,ane,伊加,ig
阿巴,aba,伊努,inne
阿弗,af,伊恩,in
阿赫,ahe,乌加,ug
阿玛,ama,乌恩,un
阿拉,ara,艾苏,es
阿利,ali,艾伊苏,eth
阿尔,al,艾茨塔,etta
阿莱,are,艾恩,en
阿莱库,alec,奥德,ord
阿罗,arro,奥苏,os
伊,i,奥兹,oz
伊奥,io,奥茨塔,otta
伊西尤,ish,奥恩,on
伊弗,if,加,ga
伊布,iv,加尔,gar
伊尔,il,加苏,gas
伊罗,ir,卡苏,cas
乌,u,加恩,gan
乌巴,ub,基,gy
乌拉,ur,基苏,gis
乌拉,ula,基苏塔恩,gistan
乌利,uli,基恩,gin
乌尔,ul,克伊罗,keyro
艾,e,格苏,gues
艾伊,ey,格恩,guen
艾伊米,eym,科,co
艾德,edo,科尔德,cord
艾巴,eva,歌苏,goth
艾保,evo,科尔德,cold
艾拉,era,科尔,cory
艾利,eli,科尔,cole
艾利苏,elis,萨,sa
艾罗,ero,查,za
奥,o,萨尔,sar
奥伊,oy,查尔德,zard
奥古,og,萨尔德,sard
奥苏,os,查苏,zas
奥兹,oz,萨米尔,sammy
奥泽,ozo,查苏塔恩,zastan
奥迪伊,ody,萨恩达尔,thandla
奥博,obe,萨恩德,sand
奥米,omi,西尔库,seek
奥尔,ol,西艾拉,sierra
卡,ka,西艾尔,siel
加,ga,吉苏,ziss
卡伊,kay,西德,sid
卡查,casa,西亚,sha
卡查,cas,西亚尔库,shark
卡苏,kas,西亚苏,siss
卡兹,kaz,西亚茨库,shack
卡巴,kab,西尤,shy
卡弗,caf,苏,s
卡布,cav,苏克,suk
卡恩查,kanz,兹苏,zess
加恩达,ganda,杰,z
凯,ky,杰苏,cess
基,gy,索尔,sor
基科,gik,索尔库,sorc
凯查,kiz,索尔德,sord
基查,giz,泽弗,zof
凯苏,kis,索尼尔,sony
基兹,gis,塔,ta
库,cu,达尔,dar
古,gu,塔恩,tan
库塔,kut,达奥苏,daos
库弗,kuf,达奥拉,daora
克,ke,达苏,deth
格,ge,达苏,dath
克弗,kef,塔玛,tam
科,kor,塔利,tali
科,cor,达尔库,dark
歌,go,达恩,dan
科弗,kof,齐苏,tis
科布,kov,齐恩,tin
科尔,kor,茨卡,kka
